Year,Round,Team1,Team2,Team1_Seed,Team2_Seed,SeedDiff,Team1_AdjEM,Team2_AdjEM,Team1_AdjO,Team2_AdjO,Team1_AdjD,Team2_AdjD,Team1_AdjT,Team2_AdjT,Team1_Luck,Team2_Luck,Team1_SOS,Team2_SOS,Team1_NCSOS,Team2_NCSOS,Team1_KenPomRank,Team2_KenPomRank,Team1_ELO,Team2_ELO,Team1_Q1Wins,Team2_Q1Wins,Team1_Won,Team1_OffenseRating,Team2_OffenseRating,Team1_DefenseRating,Team2_DefenseRating
2018,Round32,UMBC,Virginia,16,1,15,-1.9086,32.1527,103.389,116.528,105.297,84.3753,68.1857,59.1912,0.0,0.0,0.0,0.0,0.0,0.0,184,1,94,1,1,12,1,-1.690811615,11.02896574,-0.173268973,18.45743186
2018,Round32,Virginia,UMBC,1,16,-15,32.1527,-1.9086,116.528,103.389,84.3753,105.297,59.1912,68.1857,0.0,0.0,0.0,0.0,0.0,0.0,1,184,1,94,12,1,0,11.02896574,-1.690811615,18.45743186,-0.173268973
2018,Round8,Kansas St.,Creighton,9,8,1,14.7543,17.2792,112.178,116.454,97.4236,99.1744,65.5437,70.8444,0.0,0.0,0.0,0.0,0.0,0.0,44,27,31,49,4,2,1,5.163970604,10.24011146,7.381096921,4.652134988
2018,Round8,Creighton,Kansas St.,8,9,-1,17.2792,14.7543,116.454,112.178,99.1744,97.4236,70.8444,65.5437,0.0,0.0,0.0,0.0,0.0,0.0,27,44,49,31,2,4,0,10.24011146,5.163970604,4.652134988,7.381096921
2018,Round16,Kentucky,Davidson,5,12,-7,20.4069,14.9051,116.426,117.399,96.019,102.494,68.5818,64.1645,0.0,0.0,0.0,0.0,0.0,0.0,18,43,16,40,5,4,1,11.03344146,12.86651779,9.084428578,1.930512561
2018,Round16,Davidson,Kentucky,12,5,7,14.9051,20.4069,117.399,116.426,102.494,96.019,64.1645,68.5818,0.0,0.0,0.0,0.0,0.0,0.0,43,18,40,16,4,5,0,12.86651779,11.03344146,1.930512561,9.084428578
2018,Round32,Buffalo,Arizona,13,4,9,10.4931,19.3692,114.284,119.012,103.791,99.6425,72.8022,67.313,0.0,0.0,0.0,0.0,0.0,0.0,77,21,36,11,0,5,1,6.971610308,13.92856461,2.039071494,5.500545996
2018,Round32,Arizona,Buffalo,4,13,-9,19.3692,10.4931,119.012,114.284,99.6425,103.791,67.313,72.8022,0.0,0.0,0.0,0.0,0.0,0.0,21,77,11,36,5,0,0,13.92856461,6.971610308,5.500545996,2.039071494
2018,E8,Loyola Chicago,Miami FL,11,6,5,15.1402,15.7103,111.331,113.309,96.1911,97.5988,65.3221,67.0632,0.0,0.0,0.0,0.0,0.0,0.0,41,36,14,26,1,5,1,5.487862172,7.695270957,6.614882655,8.238943971
2018,E8,Miami FL,Loyola Chicago,6,11,-5,15.7103,15.1402,113.309,111.331,97.5988,96.1911,67.0632,65.3221,0.0,0.0,0.0,0.0,0.0,0.0,36,41,26,14,5,1,0,7.695270957,5.487862172,8.238943971,6.614882655
2018,Round32,Tennessee,Wright St.,3,14,-11,22.1486,2.81674,114.839,101.068,92.6901,98.251,66.1739,68.2124,0.0,0.0,0.0,0.0,0.0,0.0,11,135,10,90,6,1,1,8.873460336,-2.228111991,10.32694805,5.388175976
2018,Round32,Wright St.,Tennessee,14,3,11,2.81674,22.1486,101.068,114.839,98.251,92.6901,68.2124,66.1739,0.0,0.0,0.0,0.0,0.0,0.0,135,11,90,10,1,6,0,-2.228111991,8.873460336,5.388175976,10.32694805
2018,Round16,Nevada,Texas,7,10,-3,18.1814,15.4577,119.901,109.372,101.72,93.914,69.4886,65.2086,0.0,0.0,0.0,0.0,0.0,0.0,24,39,20,62,2,6,1,12.79739622,3.785387417,2.877351665,10.71056587
2018,Round16,Texas,Nevada,10,7,3,15.4577,18.1814,109.372,119.901,93.914,101.72,65.2086,69.4886,0.0,0.0,0.0,0.0,0.0,0.0,39,24,62,20,6,2,0,3.785387417,12.79739622,10.71056587,2.877351665
2018,Round32,Cincinnati,Georgia St.,2,15,-13,26.9966,7.20921,113.155,109.045,86.158,101.835,64.6798,66.8969,0.0,0.0,0.0,0.0,0.0,0.0,4,96,3,81,6,0,1,10.02658752,6.064202406,15.78423457,4.109534832
2018,Round32,Georgia St.,Cincinnati,15,2,13,7.20921,26.9966,109.045,113.155,101.835,86.158,66.8969,64.6798,0.0,0.0,0.0,0.0,0.0,0.0,96,4,81,3,0,6,0,6.064202406,10.02658752,4.109534832,15.78423457
2018,Round32,Xavier,Texas Southern,1,16,-15,21.6909,-7.659,120.74,105.281,99.0492,112.94,70.4307,71.5742,0.0,0.0,0.0,0.0,0.0,0.0,14,249,4,217,5,0,1,14.50101694,1.854828448,4.34614102,-7.24691972
2018,Round32,Texas Southern,Xavier,16,1,15,-7.659,21.6909,105.281,120.74,112.94,99.0492,71.5742,70.4307,0.0,0.0,0.0,0.0,0.0,0.0,249,14,217,4,0,5,0,1.854828448,14.50101694,-7.24691972,4.34614102
2018,Round8,Florida St.,Missouri,9,8,1,15.8239,15.4717,115.822,113.275,99.9984,97.803,71.6051,65.6199,0.0,0.0,0.0,0.0,0.0,0.0,35,38,58,61,6,5,1,10.64365008,6.561536578,5.68896564,7.307209193
2018,Round8,Missouri,Florida St.,8,9,-1,15.4717,15.8239,113.275,115.822,97.803,99.9984,65.6199,71.6051,0.0,0.0,0.0,0.0,0.0,0.0,38,35,61,58,5,6,0,6.561536578,10.64365008,7.307209193,5.68896564
2018,Round32,Ohio St.,South Dakota St.,5,12,-7,21.1094,10.5907,116.15,114.629,95.0408,104.038,66.3996,70.2629,0.0,0.0,0.0,0.0,0.0,0.0,15,75,19,21,3,1,1,10.756862,9.197277452,8.721927538,0.385097199
2018,Round32,South Dakota St.,Ohio St.,12,5,7,10.5907,21.1094,114.629,116.15,104.038,95.0408,70.2629,66.3996,0.0,0.0,0.0,0.0,0.0,0.0,75,15,21,19,1,3,0,9.197277452,10.756862,0.385097199,8.721927538
2018,Round32,Houston,San Diego St.,6,11,-5,20.5396,14.1504,115.787,111.286,95.2473,97.1358,68.2176,68.6523,0.0,0.0,0.0,0.0,0.0,0.0,17,50,15,33,6,3,1,10.5654655,5.972409765,10.50699653,7.852976823
2018,Round32,San Diego St.,Houston,11,6,5,14.1504,20.5396,111.286,115.787,97.1358,95.2473,68.6523,68.2176,0.0,0.0,0.0,0.0,0.0,0.0,50,17,33,15,3,6,0,5.972409765,10.5654655,7.852976823,10.50699653
2018,R32,Michigan,Montana,3,14,-11,23.1909,10.8304,115.9,110.144,92.7095,99.3132,64.3592,67.9708,0.0,0.0,0.0,0.0,0.0,0.0,10,71,5,39,6,0,1,11.20616286,3.009663578,10.69681947,6.103450598
2018,R32,Montana,Michigan,14,3,11,10.8304,23.1909,110.144,115.9,99.3132,92.7095,67.9708,64.3592,0.0,0.0,0.0,0.0,0.0,0.0,71,10,39,5,0,6,0,3.009663578,11.20616286,6.103450598,10.69681947
2018,Round16,Texas A&M,Providence,7,10,-3,16.9086,11.9189,111.204,108.926,94.2949,97.0075,69.0256,67.0963,0.0,0.0,0.0,0.0,0.0,0.0,30,63,47,37,6,5,1,6.759062287,2.818097241,10.08796499,7.950567081
2018,Round16,Providence,Texas A&M,10,7,3,11.9189,16.9086,108.926,111.204,97.0075,94.2949,67.0963,69.0256,0.0,0.0,0.0,0.0,0.0,0.0,63,30,37,47,5,6,0,2.818097241,6.759062287,7.950567081,10.08796499
2018,Round32,North Carolina,Lipscomb,2,15,-13,25.0348,0.363623,121.959,103.793,96.9241,103.43,70.9501,74.8966,0.0,0.0,0.0,0.0,0.0,0.0,7,165,13,98,14,0,1,16.70177029,0.988684382,7.602200731,1.050369147
2018,Round32,Lipscomb,North Carolina,15,2,13,0.363623,25.0348,103.793,121.959,103.43,96.9241,74.8966,70.9501,0.0,0.0,0.0,0.0,0.0,0.0,165,7,98,13,0,14,0,0.988684382,16.70177029,1.050369147,7.602200731
2018,R64,Villanova,Radford,1,16,-15,31.4091,-0.0477779,127.384,103.581,95.9749,103.629,68.277,62.7351,0.0,0.0,0.0,0.0,0.0,0.0,2,170,2,128,10,0,1,20.84256084,-1.891494118,9.120006859,1.370089716
2018,R64,Radford,Villanova,16,1,15,-0.0477779,31.4091,103.581,127.384,103.629,95.9749,62.7351,68.277,0.0,0.0,0.0,0.0,0.0,0.0,170,2,128,2,0,10,0,-1.891494118,20.84256084,1.370089716,9.120006859
2018,Round32,Alabama,Virginia Tech,9,8,1,13.8252,16.6388,108.459,115.016,94.6334,98.3773,68.7962,68.6757,0.0,0.0,0.0,0.0,0.0,0.0,51,32,73,45,7,5,1,3.425417748,10.09545278,9.928221542,5.634212559
2018,Round32,Virginia Tech,Alabama,8,9,-1,16.6388,13.8252,115.016,108.459,98.3773,94.6334,68.6757,68.7962,0.0,0.0,0.0,0.0,0.0,0.0,32,51,45,73,5,7,0,10.09545278,3.425417748,5.634212559,9.928221542
2018,Round16,West Virginia,Murray St.,5,12,-7,21.7748,12.6951,119.151,113.139,97.3766,100.444,69.0413,67.3002,0.0,0.0,0.0,0.0,0.0,0.0,13,59,18,30,8,0,1,12.19485834,7.642317424,9.97322051,2.439489608
2018,Round16,Murray St.,West Virginia,12,5,7,12.6951,21.7748,113.139,119.151,100.444,97.3766,67.3002,69.0413,0.0,0.0,0.0,0.0,0.0,0.0,59,13,30,18,0,8,0,7.642317424,12.19485834,2.439489608,9.97322051
2018,Round32,Marshall,Wichita St.,13,4,9,5.38402,20.068,109.328,121.925,103.944,101.857,74.8308,68.6357,0.0,0.0,0.0,0.0,0.0,0.0,114,20,70,17,3,3,1,3.180542083,16.78105356,2.241565088,3.997983972
2018,Round32,Wichita St.,Marshall,4,13,-9,20.068,5.38402,121.925,109.328,101.857,103.944,68.6357,74.8308,0.0,0.0,0.0,0.0,0.0,0.0,20,114,17,70,3,3,0,16.78105356,3.180542083,3.997983972,2.241565088
2018,Round32,Florida,St. Bonaventure,6,11,-5,18.7137,11.1954,115.14,112.288,96.4262,101.093,66.7986,69.2408,0.0,0.0,0.0,0.0,0.0,0.0,23,69,48,24,9,3,1,11.36223934,6.088656282,9.775968834,4.395596137
2018,Round32,St. Bonaventure,Florida,11,6,5,11.1954,18.7137,112.288,115.14,101.093,96.4262,69.2408,66.7986,0.0,0.0,0.0,0.0,0.0,0.0,69,23,24,48,3,9,0,6.088656282,11.36223934,4.395596137,9.775968834
2018,Round8,Texas Tech,Stephen F. Austin,3,14,-11,21.9424,5.56289,114.03,104.983,92.0873,99.4206,66.5709,71.1416,0.0,0.0,0.0,0.0,0.0,0.0,12,111,23,67,7,0,1,8.035233666,1.427327715,10.99401121,6.180687944
2018,Round8,Stephen F. Austin,Texas Tech,14,3,11,5.56289,21.9424,104.983,114.03,99.4206,92.0873,71.1416,66.5709,0.0,0.0,0.0,0.0,0.0,0.0,111,12,67,23,0,7,0,1.427327715,8.035233666,6.180687944,10.99401121
2018,Round32,Butler,Arkansas,10,7,3,17.8667,15.635,115.758,117.32,97.8916,101.685,67.8456,69.6899,0.0,0.0,0.0,0.0,0.0,0.0,25,37,51,29,4,6,1,9.245131837,11.81304994,5.689746333,4.558470499
2018,Round32,Arkansas,Butler,7,10,-3,15.635,17.8667,117.32,115.758,101.685,97.8916,69.6899,67.8456,0.0,0.0,0.0,0.0,0.0,0.0,37,25,29,51,6,4,0,11.81304994,9.245131837,4.558470499,5.689746333
2018,Round16,Purdue,Cal St. Fullerton,2,15,-13,26.6663,1.3154,123.248,104.984,96.5818,103.669,67.2291,69.5384,0.0,0.0,0.0,0.0,0.0,0.0,5,153,9,121,6,0,1,16.76733025,-1.537988451,8.333908398,-0.270381868
2018,Round16,Cal St. Fullerton,Purdue,15,2,13,1.3154,26.6663,104.984,123.248,103.669,96.5818,69.5384,67.2291,0.0,0.0,0.0,0.0,0.0,0.0,153,5,121,9,0,6,0,-1.537988451,16.76733025,-0.270381868,8.333908398
2018,E8,Kansas,Penn,1,16,-15,23.2388,3.69539,120.933,103.553,97.6938,99.8577,68.4279,68.8538,0.0,0.0,0.0,0.0,0.0,0.0,9,127,7,74,12,0,1,14.79515601,0.840046155,6.709971375,4.029220447
2018,E8,Penn,Kansas,16,1,15,3.69539,23.2388,103.553,120.933,99.8577,97.6938,68.8538,68.4279,0.0,0.0,0.0,0.0,0.0,0.0,127,9,74,7,0,12,0,0.840046155,14.79515601,4.029220447,6.709971375
2018,Round32,Seton Hall,North Carolina St.,8,9,-1,17.3352,15.1323,116.335,116.426,98.9994,101.294,69.3438,71.3548,0.0,0.0,0.0,0.0,0.0,0.0,26,42,43,57,4,5,1,10.2710874,9.787905928,5.738957963,4.186156443
2018,Round32,North Carolina St.,Seton Hall,9,8,1,15.1323,17.3352,116.426,116.335,101.294,98.9994,71.3548,69.3438,0.0,0.0,0.0,0.0,0.0,0.0,42,26,57,43,5,4,0,9.787905928,10.2710874,4.186156443,5.738957963
2018,Round16,Clemson,New Mexico St.,5,12,-7,20.2693,13.5573,113.774,108.457,93.5052,94.9001,65.6205,68.2276,0.0,0.0,0.0,0.0,0.0,0.0,19,55,28,27,4,1,1,7.496663253,3.418620599,9.440331913,7.598343449
2018,Round16,New Mexico St.,Clemson,12,5,7,13.5573,20.2693,108.457,113.774,94.9001,93.5052,68.2276,65.6205,0.0,0.0,0.0,0.0,0.0,0.0,55,19,27,28,1,4,0,3.418620599,7.496663253,7.598343449,9.440331913
2018,Round32,Auburn,College of Charleston,4,13,-9,20.6348,4.73418,118.196,109.887,97.5614,105.153,72.2946,64.6463,0.0,0.0,0.0,0.0,0.0,0.0,16,120,22,53,7,1,1,11.0575062,6.578623932,8.201320018,0.625929033
