YEAR,BY GAME NO,BY ROUND NO,TEAM NO,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
2025,1,2166,1141,Auburn,1,1,64,
2025,1,2165,1145,Alabama St.,16,64,64,
2025,2,2162,1119,Louisville,8,1,64,
2025,2,2161,1134,Creighton,9,64,64,
2025,3,2160,1114,Michigan,5,1,64,
2025,3,2159,1089,UC San Diego,12,64,64,
2025,4,2158,1092,Texas A&M,4,1,64,
2025,4,2157,1080,Yale,13,64,64,
2025,5,2154,1112,Mississippi,6,1,64,
2025,5,2153,1104,North Carolina,11,64,64,
2025,6,2152,1124,Iowa St.,3,1,64,
2025,6,2151,1120,Lipscomb,14,64,64,
2025,7,2150,1118,Marquette,7,1,64,
2025,7,2149,1106,New Mexico,10,64,64,
2025,8,2148,1113,Michigan St.,2,1,64,
2025,8,2147,1139,Bryant,15,64,64,
2025,9,2146,1131,Florida,1,1,64,
2025,9,2145,1105,Norfolk St.,16,64,64,
2025,10,2144,1135,Connecticut,8,1,64,
2025,10,2143,1103,Oklahoma,9,64,64,
2025,11,2142,1115,Memphis,5,1,64,
2025,11,2141,1136,Colorado St.,12,64,64,
2025,12,2140,1117,Maryland,4,1,64,
2025,12,2139,1128,Grand Canyon,13,64,64,
2025,13,2138,1110,Missouri,6,1,64,
2025,13,2137,1133,Drake,11,64,64,
2025,14,2136,1091,Texas Tech,3,1,64,
2025,14,2135,1087,UNC Wilmington,14,64,64,
2025,15,2134,1123,Kansas,7,1,64,
2025,15,2133,1142,Arkansas,10,64,64,
2025,16,2132,1095,St. John's,2,1,64,
2025,16,2131,1107,Nebraska Omaha,15,64,64,
2025,17,2130,1132,Duke,1,1,64,
2025,17,2129,1144,American,16,64,64,
2025,18,2126,1111,Mississippi St.,8,1,64,
2025,18,2125,1140,Baylor,9,64,64,
2025,19,2124,1102,Oregon,5,1,64,
2025,19,2123,1121,Liberty,12,64,64,
2025,20,2122,1143,Arizona,4,1,64,
2025,20,2121,1147,Akron,13,64,64,
2025,21,2120,1138,BYU,6,1,64,
2025,21,2119,1084,VCU,11,64,64,
2025,22,2118,1083,Wisconsin,3,1,64,
2025,22,2117,1109,Montana,14,64,64,
2025,23,2116,1098,Saint Mary's,7,1,64,
2025,23,2115,1085,Vanderbilt,10,64,64,
2025,24,2114,1146,Alabama,2,1,64,
2025,24,2113,1100,Robert Morris,15,64,64,
2025,25,2112,1126,Houston,1,1,64,
2025,25,2111,1096,SIU Edwardsville,16,64,64,
2025,26,2110,1129,Gonzaga,8,1,64,
2025,26,2109,1130,Georgia,9,64,64,
2025,27,2108,1137,Clemson,5,1,64,
2025,27,2107,1116,McNeese St.,12,64,64,
2025,28,2106,1101,Purdue,4,1,64,
2025,28,2105,1127,High Point,13,64,64,
2025,29,2104,1125,Illinois,6,1,64,
2025,29,2103,1093,Texas,11,64,64,
2025,30,2100,1122,Kentucky,3,1,64,
2025,30,2099,1090,Troy,14,64,64,
2025,31,2098,1088,UCLA,7,1,64,
2025,31,2097,1086,Utah St.,10,64,64,
2025,32,2096,1094,Tennessee,2,1,64,
2025,32,2095,1082,Wofford,15,64,64,
2024,33,2094,1067,Connecticut,1,1,64,91
2024,33,2093,1026,Stetson,16,64,64,52
2024,34,2092,1060,Florida Atlantic,8,64,64,65
2024,34,2091,1036,Northwestern,9,32,64,77
2024,35,2090,1029,San Diego St.,5,16,64,69
2024,35,2089,1020,UAB,12,64,64,65
2024,36,2088,1076,Auburn,4,64,64,76
2024,36,2087,1012,Yale,13,32,64,78
2024,37,2086,1073,BYU,6,64,64,67
2024,37,2085,1062,Duquesne,11,32,64,71
2024,38,2084,1054,Illinois,3,8,64,85
2024,38,2083,1042,Morehead St.,14,64,64,69
2024,39,2082,1015,Washington St.,7,32,64,66
2024,39,2081,1064,Drake,10,64,64,61
2024,40,2080,1053,Iowa St.,2,16,64,82
2024,40,2079,1027,South Dakota St.,15,64,64,65
2024,41,2078,1038,North Carolina,1,16,64,90
2024,41,2077,1016,Wagner,16,64,64,62
2024,42,2076,1044,Mississippi St.,8,64,64,51
2024,42,2075,1045,Michigan St.,9,32,64,69
2024,43,2074,1032,Saint Mary's,5,64,64,66
2024,43,2073,1057,Grand Canyon,12,32,64,75
2024,44,2072,1078,Alabama,4,4,64,109
2024,44,2071,1070,College of Charleston,13,64,64,96
2024,45,2070,1072,Clemson,6,8,64,77
2024,45,2069,1039,New Mexico,11,64,64,56
2024,46,2068,1075,Baylor,3,32,64,92
2024,46,2067,1071,Colgate,14,64,64,67
2024,47,2066,1065,Dayton,7,32,64,63
2024,47,2065,1040,Nevada,10,64,64,60
2024,48,2064,1077,Arizona,2,16,64,85
2024,48,2063,1049,Long Beach St.,15,64,64,65
2024,49,2062,1056,Houston,1,16,64,86
2024,49,2061,1048,Longwood,16,64,64,46
2024,50,2060,1041,Nebraska,8,64,64,83
2024,50,2059,1022,Texas A&M,9,32,64,98
2024,51,2058,1013,Wisconsin,5,64,64,61
2024,51,2057,1052,James Madison,12,32,64,72
2024,52,2056,1063,Duke,4,8,64,64
2024,52,2055,1018,Vermont,13,64,64,47
2024,53,2054,1021,Texas Tech,6,64,64,67
2024,53,2053,1037,North Carolina St.,11,4,64,80
2024,54,2052,1050,Kentucky,3,64,64,76
