Year,Team,InTournament,TeamNo,Seed,NET_RPI,ELO,Q1_W,Q2_W,Q1_PLUS_Q2_W,TR_RANK,TR_RATING,SOS_RANK,LUCK_RANK,CONSISTENCY_RANK,O_RATE,D_RATE,RELATIVE_RATING,TRUE_TEMPO,KenPomRank,AdjEM,AdjO,AdjD,AdjT,Luck,SOS,NCSOS
2008,Texas A&M,True,14.0,9.0,41.0,38.0,5.0,3.0,8.0,22.0,22.0,20.0,220.0,324.0,,,,,,,,,,,,
2008,Kentucky,True,40.0,11.0,57.0,58.0,4.0,3.0,7.0,68.0,15.6,46.0,99.0,322.0,,,,,,,,,,,,
2008,St. Joseph's,True,23.0,11.0,44.0,48.0,5.0,3.0,8.0,53.0,16.8,69.0,252.0,149.0,,,,,,,,,,,,
2008,Kansas St.,True,42.0,11.0,50.0,52.0,3.0,3.0,6.0,19.0,22.1,16.0,318.0,318.0,,,,,,,,,,,,
2008,George Mason,True,48.0,12.0,61.0,75.0,2.0,2.0,4.0,87.0,13.9,146.0,269.0,286.0,,,,,,,,,,,,
2008,BYU,True,57.0,8.0,25.0,19.0,2.0,6.0,8.0,31.0,19.5,71.0,93.0,127.0,,,,,,,,,,,,
2008,UT Arlington,True,9.0,16.0,147.0,149.0,0.0,2.0,2.0,163.0,7.1,242.0,102.0,108.0,,,,,,,,,,,,
2008,Memphis,True,37.0,1.0,3.0,3.0,6.0,9.0,15.0,3.0,28.7,45.0,71.0,53.0,,,,,,,,,,,,
2008,Louisville,True,39.0,3.0,13.0,15.0,7.0,4.0,11.0,11.0,23.6,19.0,223.0,197.0,,,,,,,,,,,,
2008,Tennessee,True,16.0,2.0,1.0,6.0,11.0,5.0,16.0,7.0,25.7,8.0,21.0,325.0,,,,,,,,,,,,
2008,Southern California,True,10.0,6.0,28.0,32.0,4.0,8.0,12.0,28.0,20.7,7.0,97.0,320.0,,,,,,,,,,,,
2008,Mount St. Mary's,True,32.0,16.0,159.0,133.0,0.0,0.0,0.0,194.0,5.0,260.0,227.0,292.0,,,,,,,,,,,,
2008,Gonzaga,True,45.0,7.0,30.0,28.0,4.0,5.0,9.0,17.0,22.4,48.0,243.0,128.0,,,,,,,,,,,,
2008,Oklahoma,True,29.0,6.0,27.0,36.0,6.0,5.0,11.0,39.0,18.6,25.0,50.0,232.0,,,,,,,,,,,,
2008,Western Kentucky,True,4.0,12.0,39.0,25.0,0.0,1.0,1.0,54.0,16.7,129.0,122.0,7.0,,,,,,,,,,,,
2008,Butler,True,58.0,7.0,17.0,9.0,1.0,9.0,10.0,32.0,19.5,96.0,10.0,2.0,,,,,,,,,,,,
2008,Austin Peay,True,62.0,15.0,84.0,100.0,0.0,2.0,2.0,159.0,7.6,230.0,16.0,41.0,,,,,,,,,,,,
2008,Notre Dame,True,30.0,5.0,26.0,18.0,5.0,2.0,7.0,25.0,21.4,31.0,83.0,206.0,,,,,,,,,,,,
2008,Michigan St.,True,35.0,5.0,16.0,24.0,6.0,0.0,6.0,20.0,22.1,24.0,112.0,95.0,,,,,,,,,,,,
2008,St. Mary's,True,22.0,10.0,36.0,37.0,2.0,5.0,7.0,34.0,19.3,93.0,167.0,113.0,,,,,,,,,,,,
2008,Duke,True,49.0,2.0,7.0,11.0,7.0,7.0,14.0,4.0,28.5,3.0,197.0,107.0,,,,,,,,,,,,
2008,Indiana,True,44.0,8.0,22.0,31.0,5.0,3.0,8.0,21.0,22.1,32.0,114.0,179.0,,,,,,,,,,,,
2008,Cornell,True,52.0,14.0,65.0,56.0,0.0,1.0,1.0,128.0,10.1,252.0,52.0,126.0,,,,,,,,,,,,
2008,Vanderbilt,True,8.0,4.0,12.0,30.0,4.0,9.0,13.0,45.0,17.7,61.0,6.0,83.0,,,,,,,,,,,,
2008,Baylor,True,61.0,11.0,43.0,55.0,3.0,4.0,7.0,40.0,18.3,36.0,81.0,6.0,,,,,,,,,,,,
2008,Pittsburgh,True,26.0,4.0,15.0,16.0,6.0,3.0,9.0,24.0,21.6,17.0,66.0,248.0,,,,,,,,,,,,
2008,Marquette,True,38.0,6.0,20.0,27.0,4.0,3.0,7.0,10.0,23.8,12.0,256.0,269.0,,,,,,,,,,,,
2008,Xavier,True,1.0,3.0,9.0,13.0,9.0,3.0,12.0,12.0,23.6,44.0,209.0,317.0,,,,,,,,,,,,
2008,Miami FL,True,36.0,7.0,34.0,44.0,3.0,5.0,8.0,44.0,17.7,47.0,80.0,31.0,,,,,,,,,,,,
2008,Wisconsin,True,2.0,3.0,11.0,5.0,6.0,2.0,8.0,6.0,25.8,18.0,61.0,82.0,,,,,,,,,,,,
2008,Villanova,True,7.0,12.0,51.0,47.0,4.0,3.0,7.0,59.0,16.2,41.0,67.0,235.0,,,,,,,,,,,,
2008,Georgetown,True,47.0,2.0,8.0,7.0,6.0,4.0,10.0,8.0,24.8,11.0,51.0,154.0,,,,,,,,,,,,
2008,Clemson,True,55.0,5.0,19.0,20.0,4.0,5.0,9.0,14.0,23.3,13.0,219.0,191.0,,,,,,,,,,,,
2008,Oral Roberts,True,28.0,13.0,53.0,50.0,0.0,4.0,4.0,63.0,15.9,101.0,96.0,148.0,,,,,,,,,,,,
2008,UCLA,True,13.0,1.0,4.0,2.0,11.0,9.0,20.0,5.0,28.3,4.0,36.0,32.0,,,,,,,,,,,,
2008,North Carolina,True,31.0,1.0,2.0,1.0,9.0,11.0,20.0,2.0,29.5,6.0,38.0,142.0,,,,,,,,,,,,
2008,Oregon,True,27.0,9.0,58.0,63.0,4.0,4.0,8.0,35.0,19.0,14.0,205.0,89.0,,,,,,,,,,,,
2008,San Diego,True,21.0,13.0,94.0,72.0,3.0,1.0,4.0,127.0,10.1,113.0,28.0,101.0,,,,,,,,,,,,
