Year,Round,GameID,WinningTeam,WinningSeed,WinningScore,LosingTeam,LosingSeed,LosingScore,ScoreDiff
2008,E8,977,North Carolina,1,113.0,Mount St. Mary's,16,74.0,39.0
2008,Round32,978,Arkansas,9,86.0,Indiana,8,72.0,14.0
2008,Round32,979,Notre Dame,5,68.0,George Mason,12,50.0,18.0
2008,Round16,980,Washington St.,4,71.0,Winthrop,13,40.0,31.0
2008,Round32,981,Oklahoma,6,72.0,Saint Joseph's,11,64.0,8.0
2008,Round8,982,Louisville,3,79.0,Boise St.,14,61.0,18.0
2008,Round32,983,Butler,7,81.0,South Alabama,10,61.0,20.0
2008,Round16,984,Tennessee,2,72.0,American,15,57.0,15.0
2008,R64,985,Kansas,1,85.0,Portland St.,16,61.0,24.0
2008,Round32,986,UNLV,8,71.0,Kent St.,9,58.0,13.0
2008,Round16,987,Villanova,12,75.0,Clemson,5,69.0,6.0
2008,Round32,988,Siena,13,83.0,Vanderbilt,4,62.0,21.0
2008,Round32,989,Kansas St.,11,80.0,Southern California,6,67.0,13.0
2008,Round16,990,Wisconsin,3,71.0,Cal St. Fullerton,14,56.0,15.0
2008,Round8,991,Davidson,10,82.0,Gonzaga,7,76.0,6.0
2008,Round32,992,Georgetown,2,66.0,UMBC,15,47.0,19.0
2008,R32,993,Memphis,1,87.0,UT Arlington,16,63.0,24.0
2008,Round32,994,Mississippi St.,8,76.0,Oregon,9,69.0,7.0
2008,Round16,995,Michigan St.,5,72.0,Temple,12,61.0,11.0
2008,Round32,996,Pittsburgh,4,82.0,Oral Roberts,13,63.0,19.0
2008,Round32,997,Marquette,6,74.0,Kentucky,11,66.0,8.0
2008,Round16,998,Stanford,3,77.0,Cornell,14,53.0,24.0
2008,Round32,999,Miami FL,7,78.0,Saint Mary's,10,64.0,14.0
2008,Round8,1000,Texas,2,74.0,Austin Peay,15,54.0,20.0
2008,E8,1001,UCLA,1,70.0,Mississippi Valley St.,16,29.0,41.0
2008,Round32,1002,Texas A&M,9,67.0,BYU,8,62.0,5.0
2008,Round16,1003,Western Kentucky,12,101.0,Drake,5,99.0,2.0
2008,Round32,1004,San Diego,13,70.0,Connecticut,4,69.0,1.0
2008,Round32,1005,Purdue,6,90.0,Baylor,11,79.0,11.0
2008,Round8,1006,Xavier,3,73.0,Georgia,14,61.0,12.0
